RA,Dec,pop,U,err_U,Z,err_Z,F378,err_F378,F395,err_F395,F410,err_F410,F430,err_F430,F515,err_F515,F660,err_F660,F861,err_F861,G,err_G,I,err_I,R,err_R,pmra,e_pmra,pmdec,e_pmdec,g,bp,rp,par,e_par,r
323.3859,-0.989463,1.0,17.491,0.021,15.783999999999999,0.008,17.770000000000003,0.022,17.851000000000003,0.028,17.958,0.02,17.953,0.018,17.270999999999997,0.013,16.474,0.007,16.012,0.011,17.405,0.008,16.093,0.009,16.559,0.006,3.307257,0.068601,-1.991566,0.051842,16.548367,16.974464,15.949948,0.007065,0.06984,604.246021
323.3371,-0.947676,0.0,18.573999999999998,0.035,17.122999999999998,0.014,18.863999999999997,0.05,18.944000000000003,0.068,19.093999999999998,0.045,19.048000000000002,0.037,18.424,0.021,17.761,0.011,17.318,0.017,18.576,0.011,17.395,0.012,17.841,0.01,2.964974,0.143617,-2.020415,0.09478,17.8121,18.186565,17.271004,0.0818,0.132545,457.2873
323.3571,-0.936734,1.0,18.410999999999998,0.038,16.947,0.014,18.750999999999998,0.047,18.993000000000002,0.076,18.913999999999998,0.037,18.958000000000002,0.033,18.375999999999998,0.023,17.602,0.011,17.144000000000002,0.022,18.451,0.013,17.233,0.012,17.682,0.01,3.322701,0.121199,-1.954498,0.084396,17.664856,18.07444,17.102934,-0.106959,0.119145,409.110588
323.312,-0.911349,0.0,18.657,0.048,17.157999999999998,0.019,18.955,0.062,18.946,0.083,19.166999999999998,0.035,19.088,0.033,18.520999999999997,0.025,17.825,0.01,17.387,0.015,18.643,0.016,17.454,0.012,17.901,0.011,3.444707,0.173108,-2.458366,0.11017,17.880116,18.271938,17.32752,-0.030277,0.175547,365.801129
323.3989,-0.910944,1.0,18.676,0.049,17.236,0.014,18.961,0.064,19.049,0.081,19.174999999999997,0.048,19.191,0.039,18.58,0.02,17.849,0.011,17.423000000000002,0.016,18.697,0.013,17.506999999999998,0.014,17.933,0.012,3.326188,0.156912,-2.058875,0.096917,17.916145,18.307207,17.376907,0.202454,0.157896,341.78498
323.2814,-0.907663,0.0,18.054,0.03,16.448,0.009,18.387999999999998,0.034,18.43,0.051,18.535999999999998,0.022,18.469,0.027,17.864,0.019,17.110999999999997,0.007,16.651,0.013,18.002,0.01,16.749,0.009,17.198999999999998,0.007,3.218117,0.099256,-2.005148,0.068429,17.17709,17.588226,16.590294,0.162813,0.095487,421.548145
323.3019,-0.899163,0.0,18.259,0.035,16.677999999999997,0.011,18.514000000000003,0.031,18.644000000000002,0.052,18.706,0.027,18.599,0.023,18.063,0.021,17.337999999999997,0.008,16.88,0.013,18.191,0.01,16.96,0.01,17.421,0.012,3.092316,0.122765,-2.196684,0.077981,17.407082,17.792725,16.830925,0.213476,0.123563,350.023378
323.459,-0.896671,0.0,18.125999999999998,0.027,16.543,0.011,18.435000000000002,0.035,18.493000000000002,0.042,18.706,0.028,18.631,0.028,17.954,0.016,17.212999999999997,0.01,16.745,0.017,18.095,0.011,16.841,0.01,17.283,0.007,3.071651,0.165396,-1.967348,0.081033,17.273542,17.682114,16.693275,0.040293,0.105667,436.101601
323.3873,-0.887462,0.0,18.938,0.046,17.554,0.021,19.310000000000002,0.049,19.442,0.09,19.605999999999998,0.046,19.47,0.049,18.918,0.028,18.174,0.016,17.706,0.024,18.983,0.02,17.788,0.025,18.235,0.02,3.192771,0.251201,-2.404628,0.17814,18.255346,18.615387,17.68494,0.098309,0.21545,247.560065
323.2933,-0.886058,0.0,18.025,0.026,16.375,0.012,18.241,0.024,18.336000000000002,0.047,18.455,0.022,18.343,0.023,17.799,0.014,17.055,0.007,16.589,0.015,17.919999999999998,0.01,16.685,0.011,17.137999999999998,0.009,3.406645,0.099629,-2.249756,0.061987,17.101831,17.506794,16.531094,0.174798,0.098263,336.637028
