RA,Dec,pop,pmra,e_pmra,pmdec,e_pmdec,g,bp,rp,par,e_par,r,U,F378,F395,F410,F430,G,F515,R,F660,I,F861,Z,err_U,err_Z,err_F378,err_F395,err_F410,err_F430,err_F515,err_F660,err_F861,err_G,err_I,err_R
154.406772,-46.386319,1.0,8.463239,0.02745,-2.003575,0.029337,14.416417,14.985774,13.594973,0.203392,0.030492,94.520533,14.904477,14.884857,15.018193,15.036355,14.958833,14.337875,14.041968,13.346131,13.103759,12.752787,12.436027,12.347141,0.027,0.045,0.034,0.037,0.037,0.041,0.034,0.025,0.044,0.03,0.05,0.037
154.47736,-46.422924,0.0,8.27113,0.045688,-1.897089,0.045203,16.47637,17.002571,15.709408,0.148834,0.047757,187.332421,16.725539,16.759796,16.781767,16.985603,16.866057,16.332625,16.031056,15.404181,15.197553,14.834916,14.621883,14.539193,0.046,0.032,0.031,0.06,0.051,0.053,0.031,0.017,0.03,0.015,0.059,0.03
154.479565,-46.422962,0.0,8.279599,0.035866,-2.067154,0.035178,15.931471,16.506289,15.183871,0.077658,0.036359,192.7236,16.230539,16.262796,16.299767,16.427603,16.372057,15.874625,15.561056,14.918181,14.710553,14.382916,14.095883,14.016193,0.025,0.033,0.026,0.03,0.043,0.05,0.031,0.019,0.027,0.017,0.059,0.029
154.476915,-46.419317,1.0,8.31681,0.016762,-1.968229,0.016317,14.315633,14.97562,13.520587,0.149174,0.017516,184.072693,15.033539,15.013796,15.141767,15.124603,15.043057,14.382625,14.064056,13.324181,13.066553,12.723916,12.427883,12.307193,0.022,0.026,0.019,0.025,0.038,0.041,0.032,0.017,0.025,0.015,0.048,0.03
154.477374,-46.417212,0.0,8.299784,0.031569,-1.841532,0.032002,15.909661,16.443905,15.115853,0.100506,0.033037,184.351004,16.19059,16.262399,16.338223,16.409025,16.346322,15.827256,15.521588,14.859345,14.594887,14.385058,14.041057,13.921855,0.029,0.054,0.033,0.046,0.046,0.051,0.036,0.034,0.027,0.015,0.064,0.032
154.480595,-46.418509,1.0,8.251113,0.031549,-2.033757,0.030096,15.748893,16.35706,14.984697,0.141021,0.030122,192.778886,16.05659,16.089399,16.282223,16.314025,16.234322,15.680256,15.361588,14.758345,14.475887,14.143058,13.905057,13.789855,0.022,0.026,0.028,0.034,0.04,0.048,0.039,0.018,0.028,0.022,0.055,0.029
154.479842,-46.402645,1.0,7.875444,0.04108,-2.362663,0.040684,15.493057,15.960867,14.670979,0.092843,0.043288,192.980815,15.57359,15.587399,15.624223,15.780025,15.694322,15.239256,14.926588,14.315345,14.109887,13.818058,13.545057,13.408855,0.043,0.031,0.045,0.051,0.031,0.04,0.032,0.025,0.028,0.034,0.058,0.04
154.46031,-46.410276,1.0,8.237224,0.061736,-2.579395,0.062828,14.858646,15.419655,14.051098,-0.141712,0.06427,141.437636,15.254973,15.249567,15.303234,15.400871,15.329929,14.732243,14.449246,13.784277,13.527637,13.251235,12.94981,12.831314,0.017,0.024,0.021,0.031,0.036,0.037,0.033,0.015,0.029,0.012,0.051,0.032
154.461935,-46.410577,0.0,8.257312,0.043657,-2.019513,0.044303,16.576239,17.130672,15.827427,0.178527,0.046091,145.408011,16.809973,16.831567,16.863234,17.018871,16.909929,16.410243,16.122246,15.488277,15.310637,15.012235,14.71481,14.598314,0.041,0.03,0.04,0.058,0.053,0.054,0.045,0.02,0.035,0.021,0.058,0.035
154.460733,-46.398759,1.0,8.626743,0.022457,-1.838807,0.0226,15.082698,15.693192,14.294025,0.193924,0.023213,150.60276,15.461303,15.439798,15.58757,15.655442,15.58373,14.970415,14.697851,13.99569,13.755516,13.419851,13.154145,13.044611,0.024,0.027,0.025,0.031,0.031,0.04,0.032,0.018,0.024,0.017,0.049,0.026
