RA,Dec,pop,pmra,e_pmra,pmdec,e_pmdec,g,bp,rp,par,e_par,r,U,F378,F395,F410,F430,G,F515,R,F660,I,F861,Z,err_U,err_Z,err_F378,err_F395,err_F410,err_F430,err_F515,err_F660,err_F861,err_G,err_I,err_R
154.422413,-46.321224,0.0,8.286923,0.045569,-2.164662,0.048399,16.43182,16.941278,15.709414,0.237554,0.047431,331.865514,16.736809,16.800192,16.80845,16.95622,16.866902,16.388749,16.070146,15.493643,15.254321,15.012683,14.716125,14.600678,0.027,0.03,0.03,0.053,0.035,0.04,0.037,0.017,0.033,0.015,0.052,0.032
154.405477,-46.336309,1.0,8.594116,0.036664,-1.994197,0.040003,16.232872,16.736185,15.514557,0.157981,0.037796,274.235457,16.496851,16.541596,16.673666,16.821174,16.76203,16.139151,15.835044,15.198001,14.974286,14.655278,14.407491,14.251805,0.026,0.049,0.037,0.045,0.041,0.053,0.029,0.024,0.033,0.029,0.048,0.03
154.409502,-46.330319,0.0,8.409125,0.012721,-2.020727,0.014031,13.907728,14.522338,13.147346,0.197501,0.013485,296.139292,14.830851,14.780596,14.828666,14.870174,14.69203,14.070151,13.758044,13.055001,12.765286,12.457278,12.163491,12.022805,0.017,0.024,0.02,0.02,0.036,0.038,0.032,0.012,0.03,0.013,0.055,0.033
154.361679,-46.34004,0.0,8.399418,0.022856,-1.948142,0.023207,15.178846,15.773196,14.408845,0.189204,0.023728,280.60625,15.623664,15.643832,15.680189,15.771498,15.65308,15.090163,14.801514,14.149101,13.895098,13.579558,13.336292,13.194213,0.025,0.025,0.028,0.023,0.038,0.049,0.037,0.013,0.028,0.018,0.051,0.034
154.375898,-46.334511,0.0,9.140605,0.056566,-1.772698,0.059663,16.198742,16.664787,15.371974,0.062949,0.057399,288.862498,16.258664,16.337832,16.335189,16.507498,16.36708,15.960163,15.633514,15.052101,14.834098,14.519558,14.293292,14.160213,0.057,0.061,0.064,0.072,0.053,0.062,0.052,0.038,0.048,0.047,0.075,0.058
154.375683,-46.32899,1.0,8.388275,0.036779,-2.265374,0.040076,16.378967,16.901451,15.654765,0.263385,0.039217,308.329782,16.774696,16.77193,16.913904,17.030248,16.954422,16.407183,16.093768,15.499616,15.251617,14.98458,14.651815,14.536066,0.039,0.039,0.032,0.042,0.045,0.04,0.034,0.022,0.033,0.017,0.057,0.035
154.357472,-46.32878,0.0,8.346034,0.030305,-1.885173,0.032346,15.926423,16.516237,15.188816,0.117877,0.031309,322.183014,16.221664,16.230832,16.262189,16.408498,16.27908,15.813163,15.502514,14.906101,14.634098,14.354558,14.089292,14.000213,0.034,0.027,0.03,0.034,0.025,0.04,0.039,0.012,0.034,0.016,0.053,0.034
154.344579,-46.321378,1.0,8.038128,0.051086,-2.227989,0.052228,16.899935,17.457678,16.185963,0.271005,0.050873,359.03689,17.379691,17.232644,17.44214,17.597038,17.515012,16.954847,16.65653,16.043809,15.79942,15.5073,15.173952,15.077184,0.047,0.036,0.051,0.086,0.053,0.053,0.039,0.024,0.035,0.02,0.057,0.042
154.358119,-46.31506,1.0,8.538594,0.031093,-1.673097,0.033549,15.698857,16.227074,14.962747,0.057333,0.032169,368.295571,16.125065,16.15216,16.259485,16.291263,16.23851,15.721643,15.420072,14.819214,14.552798,14.276725,13.97663,13.861423,0.027,0.028,0.032,0.047,0.032,0.039,0.034,0.015,0.034,0.015,0.054,0.032
154.368244,-46.317358,1.0,8.392332,0.016513,-1.893286,0.018748,14.508509,15.105639,13.760109,0.191599,0.017086,353.383893,15.212065,15.17916,15.330485,15.325263,15.27751,14.640643,14.326072,13.657214,13.368798,13.105725,12.78963,12.639423,0.019,0.02,0.017,0.02,0.035,0.04,0.039,0.015,0.035,0.014,0.051,0.038
154.354509,-46.304252,1.0,8.34428,0.019478,-1.888104,0.020789,14.910512,15.456275,14.204485,0.210065,0.020602,408.101915,15.462065,15.41816,15.487485,15.590263,15.51951,14.955643,14.655072,14.059214,13.785798,13.507725,13.27863,13.103423,0.023,0.02,0.02,0.028,0.032,0.042,0.033,0.013,0.027,0.015,0.054,0.029
154.389514,-46.294237,1.0,8.398609,0.026993,-1.94691,0.028551,15.69306,16.144707,14.929816,0.230533,0.028542,427.045011,16.092696,15.99893,16.115904,16.361248,16.195422,15.762183,15.463768,14.837616,14.535617,14.35958,13.985815,13.859066,0.036,0.049,0.061,0.061,0.045,0.047,0.037,0.036,0.045,0.023,0.06,0.034
154.375819,-46.288665,1.0,8.500509,0.03378,-2.025805,0.036647,16.128,16.62365,15.453095,0.13989,0.035473,450.95234,16.577414,16.618113,16.721347,16.899656,16.81555,16.260455,15.930053,15.354801,15.110246,14.84478,14.546131,14.458454,0.029,0.031,0.024,0.032,0.048,0.045,0.032,0.014,0.036,0.017,0.061,0.033
154.239648,-46.445296,0.0,8.312255,0.046659,-1.971712,0.045734,16.739876,17.244099,16.066305,0.155048,0.050345,423.194569,16.992957,17.072777,17.114902,17.279468,17.192409,16.735748,16.435756,15.871969,15.647318,15.382512,15.103874,15.013291,0.036,0.027,0.04,0.063,0.039,0.067,0.039,0.024,0.039,0.02,0.058,0.041
154.237093,-46.442956,1.0,7.987262,0.035504,-1.91805,0.034028,16.156605,16.684586,15.469069,0.163721,0.037198,427.051288,16.494957,16.534777,16.630902,16.750468,16.673409,16.186748,15.903756,15.327969,15.062318,14.815512,14.527874,14.399291,0.042,0.035,0.035,0.039,0.037,0.047,0.048,0.026,0.036,0.023,0.064,0.034
154.245567,-46.438451,1.0,8.174198,0.039191,-1.82991,0.038279,16.386154,16.905926,15.696339,0.116651,0.041558,402.710355,16.704957,16.755777,16.893902,17.002468,16.858409,16.425748,16.115756,15.530969,15.297318,15.056512,14.745874,14.583291,0.036,0.026,0.035,0.06,0.068,0.044,0.048,0.02,0.032,0.018,0.057,0.042
154.261947,-46.427906,0.0,8.462488,0.053087,-1.844556,0.051774,16.917862,17.42056,16.25887,0.09876,0.05618,355.455756,17.097146,17.153996,17.180869,17.358229,17.277317,16.876629,16.588212,16.053908,15.802134,15.561075,15.268469,15.183294,0.043,0.04,0.035,0.059,0.054,0.053,0.042,0.023,0.038,0.019,0.063,0.035
154.270161,-46.425529,1.0,8.22884,0.040973,-2.023781,0.041644,16.399109,16.895304,15.696979,0.12344,0.044856,334.033152,16.670146,16.720996,16.857869,16.988229,16.911317,16.389629,16.109212,15.515908,15.277134,15.030075,14.756469,14.636294,0.039,0.034,0.031,0.041,0.055,0.056,0.046,0.02,0.042,0.021,0.061,0.042
154.280604,-46.426356,1.0,8.426166,0.021761,-1.976202,0.021874,15.139656,15.694345,14.4233,0.168747,0.023913,308.859927,15.597146,15.625996,15.755869,15.821229,15.741317,15.215629,14.904212,14.286908,14.024134,13.733075,13.439469,13.345294,0.029,0.019,0.025,0.026,0.035,0.049,0.042,0.019,0.029,0.018,0.064,0.032
154.258895,-46.423306,1.0,8.2909,0.047538,-1.896079,0.047724,16.72325,17.20478,16.013046,0.044167,0.051039,360.790626,16.950146,16.996996,17.108869,17.182229,17.129317,16.690629,16.354212,15.808908,15.552134,15.308075,15.014469,14.901294,0.041,0.031,0.042,0.066,0.055,0.055,0.046,0.021,0.034,0.022,0.06,0.038
154.243178,-46.422627,1.0,8.152769,0.036088,-2.052896,0.036152,16.262926,16.771893,15.568906,0.149507,0.038975,399.362845,16.571957,16.622777,16.757902,16.800468,16.743409,16.298748,15.972756,15.383969,15.168318,14.931512,14.619874,14.513291,0.03,0.031,0.04,0.046,0.047,0.043,0.041,0.023,0.042,0.019,0.066,0.035
154.256954,-46.408431,0.0,8.186798,0.038127,-2.012747,0.03862,16.392174,16.891724,15.708268,0.141946,0.04157,363.835097,16.62309,16.704182,16.73523,16.964776,16.811134,16.325143,16.034096,15.455609,15.23004,14.953627,14.735496,14.587652,0.028,0.032,0.031,0.058,0.042,0.046,0.044,0.02,0.033,0.021,0.057,0.036
154.226876,-46.405778,1.0,8.669312,0.025994,-2.078826,0.026284,15.577658,16.117264,14.868852,0.207316,0.027415,438.873891,16.067966,16.101431,16.218847,16.307599,16.240916,15.681458,15.394867,14.773114,14.493461,14.241373,13.945091,13.79029,0.028,0.023,0.024,0.036,0.038,0.048,0.045,0.016,0.029,0.016,0.056,0.037
154.245926,-46.398036,1.0,8.947167,0.038342,-1.508568,0.038668,16.234201,16.71826,15.503239,0.231097,0.040274,394.391868,16.547966,16.669431,16.730847,16.804599,16.793916,16.268458,15.962867,15.326114,15.094461,14.829373,14.551091,14.41329,0.027,0.033,0.037,0.038,0.047,0.044,0.049,0.022,0.037,0.019,0.052,0.04
154.229062,-46.388815,1.0,8.382892,0.020207,-2.036899,0.020752,14.922159,15.466759,14.213649,0.179897,0.021786,441.151946,15.496966,15.513431,15.600847,15.674599,15.697916,15.047458,14.746867,14.123114,13.845461,13.589373,13.291091,13.16429,0.03,0.029,0.019,0.026,0.043,0.052,0.041,0.019,0.033,0.022,0.052,0.034
154.226043,-46.394816,1.0,8.210588,0.033917,-1.822381,0.03402,16.08377,16.594194,15.393856,0.250186,0.035686,444.886762,16.436966,16.477431,16.596847,16.728599,16.659916,16.156458,15.823867,15.225114,15.010461,14.719373,14.486091,14.34929,0.027,0.028,0.027,0.037,0.042,0.046,0.043,0.025,0.032,0.022,0.056,0.033
154.274835,-46.411771,1.0,8.294976,0.044522,-2.172018,0.045174,16.71646,17.213367,16.037231,0.145211,0.048117,319.160508,16.95909,16.965182,17.04323,17.204776,17.103134,16.689143,16.407096,15.823609,15.60404,15.334627,15.067496,14.944652,0.028,0.029,0.047,0.042,0.04,0.056,0.041,0.024,0.035,0.022,0.062,0.036
154.284412,-46.414812,1.0,8.307871,0.037851,-1.998069,0.03834,16.212574,16.73008,15.517013,0.090848,0.039728,295.489938,16.473379,16.519099,16.515601,16.757631,16.708687,16.201505,15.890417,15.317051,15.082015,14.833274,14.52638,14.403392,0.035,0.028,0.027,0.039,0.046,0.053,0.044,0.02,0.038,0.018,0.056,0.041
154.280947,-46.409087,1.0,8.214647,0.017962,-1.959347,0.019048,14.639245,15.229628,13.89359,0.16571,0.019179,304.230102,15.31909,15.316182,15.40123,15.448776,15.434134,14.763143,14.458096,13.787609,13.50104,13.242627,12.913496,12.783652,0.021,0.031,0.015,0.025,0.042,0.053,0.04,0.018,0.036,0.016,0.049,0.034
154.295192,-46.39699,1.0,8.21623,0.049305,-1.994177,0.049807,16.788832,17.309217,16.105833,0.182371,0.052572,274.378076,16.976585,16.91004,16.997154,17.097143,17.052817,16.637956,16.310689,15.779482,15.572023,15.334913,15.05627,14.94385,0.051,0.026,0.045,0.062,0.047,0.06,0.036,0.018,0.039,0.019,0.054,0.036
154.256971,-46.389719,0.0,8.62964,0.034276,-1.938363,0.034986,16.105465,16.630007,15.3973,0.199523,0.037252,372.676572,16.494157,16.535888,16.570673,16.70294,16.645895,16.130859,15.853259,15.237549,14.963672,14.673293,14.406449,14.28411,0.028,0.037,0.03,0.037,0.038,0.046,0.038,0.024,0.033,0.018,0.06,0.03
154.269008,-46.395388,1.0,8.362812,0.015329,-2.144026,0.015834,14.291885,14.887197,13.546796,0.204126,0.016803,339.284017,15.051157,15.045888,15.126673,15.12994,15.071895,14.432859,14.142259,13.454549,13.155672,12.892293,12.581449,12.42511,0.022,0.029,0.022,0.034,0.039,0.052,0.039,0.018,0.029,0.018,0.047,0.032
154.258135,-46.388126,1.0,8.197164,0.029918,-1.848722,0.029766,15.813007,16.352364,15.103426,0.20429,0.032712,371.175045,16.222157,16.273888,16.411673,16.45094,16.391895,15.871859,15.599259,14.930549,14.688672,14.383293,14.127449,14.01611,0.02,0.03,0.024,0.044,0.046,0.048,0.041,0.016,0.033,0.016,0.063,0.039
154.275557,-46.397217,1.0,8.615298,0.043823,-1.853665,0.041914,16.519066,17.033518,15.831618,0.201462,0.047795,322.116743,16.77509,16.798182,16.90523,17.024776,17.025134,16.501143,16.225096,15.629609,15.40504,15.092627,14.872496,14.718652,0.033,0.035,0.035,0.055,0.042,0.055,0.04,0.017,0.037,0.02,0.06,0.038
154.268504,-46.389062,1.0,8.34153,0.026757,-1.90115,0.027727,15.670562,16.216127,14.952812,0.224626,0.028889,345.373225,16.084157,16.115888,16.216673,16.36994,16.270895,15.721859,15.425259,14.795549,14.541672,14.285293,14.000449,13.85211,0.027,0.025,0.026,0.034,0.046,0.051,0.042,0.014,0.031,0.018,0.054,0.036
154.296721,-46.382293,1.0,8.220801,0.014923,-2.000457,0.015751,14.192516,14.816302,13.421802,0.179215,0.01661,286.313063,14.814585,14.79204,14.925154,14.928143,14.864817,14.203956,13.901689,13.216482,12.935023,12.671913,12.34627,12.21785,0.023,0.021,0.021,0.023,0.04,0.04,0.042,0.013,0.028,0.014,0.048,0.033
154.26547,-46.375149,1.0,8.539582,0.044543,-2.029279,0.044099,16.610367,17.126728,15.927546,0.212314,0.049172,367.920881,16.852157,16.883888,16.983673,17.21694,17.079895,16.611859,16.330259,15.749549,15.503672,15.210293,14.973449,14.85911,0.036,0.04,0.038,0.042,0.051,0.055,0.037,0.019,0.033,0.021,0.067,0.037
154.280985,-46.365286,0.0,8.278886,0.013762,-1.922822,0.014234,13.989139,14.585308,13.242714,0.176575,0.015289,348.254184,14.658767,14.6557,14.663985,14.718031,14.648895,14.005757,13.712636,13.0369,12.762297,12.494461,12.212845,12.08298,0.023,0.022,0.014,0.025,0.033,0.052,0.037,0.015,0.031,0.015,0.062,0.033
154.285542,-46.356426,1.0,8.427542,0.026494,-2.008754,0.028114,15.545912,16.058128,14.84268,0.173562,0.028314,355.522292,15.793767,15.8197,15.870985,15.980031,15.909895,15.412757,15.131636,14.5659,14.316297,14.077461,13.837845,13.71498,0.026,0.029,0.023,0.032,0.039,0.049,0.038,0.019,0.033,0.016,0.057,0.03
154.25289,-46.394012,1.0,8.547909,0.030575,-1.919744,0.030631,15.755176,16.288654,15.04287,0.119845,0.031366,379.542975,16.103157,16.137888,16.258673,16.39994,16.288895,15.802859,15.506259,14.855549,14.642672,14.349293,14.053449,13.95811,0.026,0.033,0.034,0.029,0.048,0.049,0.04,0.021,0.026,0.02,0.066,0.032
154.241466,-46.390378,1.0,8.4604,0.044782,-1.873465,0.045169,16.74124,17.247307,16.0777,0.152949,0.047879,409.845218,16.996966,17.067431,17.205847,17.289599,17.282916,16.794458,16.478867,15.906114,15.674461,15.436373,15.116091,15.03129,0.04,0.036,0.04,0.05,0.049,0.053,0.05,0.019,0.037,0.019,0.059,0.047
154.251401,-46.38852,1.0,8.306229,0.03299,-2.138518,0.034696,16.102852,16.6379,15.408486,0.130991,0.036457,387.121712,16.441157,16.462888,16.537673,16.67794,16.640895,16.162859,15.827259,15.253549,14.996672,14.698293,14.441449,14.32311,0.026,0.035,0.032,0.036,0.038,0.053,0.04,0.023,0.033,0.025,0.061,0.036
154.248386,-46.376126,1.0,8.46717,0.029725,-1.945148,0.027713,15.574493,16.052849,14.836111,0.208015,0.030057,406.55635,15.905157,15.907888,16.076673,16.13694,16.068895,15.537859,15.243259,14.623549,14.404672,14.080293,13.853449,13.70011,0.03,0.033,0.035,0.057,0.047,0.042,0.048,0.02,0.034,0.03,0.053,0.04
154.258141,-46.360942,0.0,8.423091,0.048047,-2.119015,0.047321,16.791441,17.29358,16.131351,0.296807,0.052728,405.654763,17.188092,17.27692,17.310697,17.429646,17.338911,16.905957,16.625808,15.997754,15.797009,15.565219,15.220767,15.097997,0.032,0.029,0.028,0.048,0.052,0.056,0.055,0.026,0.04,0.019,0.058,0.038
154.157986,-46.344522,1.0,8.425184,0.015896,-2.26569,0.014752,14.392198,14.965393,13.657918,0.18608,0.016773,656.806061,15.093018,15.08004,15.21986,15.23704,15.164977,14.540126,14.250386,13.571515,13.284336,13.004732,12.729549,12.590509,0.024,0.036,0.016,0.019,0.042,0.046,0.037,0.021,0.037,0.017,0.057,0.032
154.214126,-46.367915,1.0,8.550609,0.018002,-1.914809,0.018262,14.623736,15.191738,13.897199,0.145381,0.01952,496.64074,15.256888,15.270192,15.356942,15.426111,15.395477,14.737326,14.455546,13.768013,13.506923,13.259741,12.961085,12.817797,0.02,0.03,0.018,0.019,0.04,0.049,0.041,0.019,0.036,0.015,0.049,0.032
154.234024,-46.325275,0.0,8.296465,0.061443,-2.305778,0.056042,16.90252,17.361881,16.268293,0.27513,0.055535,524.970447,17.119878,17.277476,17.204085,17.441857,17.423864,16.910244,16.581742,16.028907,15.807965,15.424559,15.150651,14.918566,0.039,0.072,0.048,0.056,0.048,0.051,0.037,0.022,0.047,0.02,0.052,0.036
154.17967,-46.325673,0.0,8.318883,0.016666,-1.891127,0.016761,14.659517,15.214283,13.935463,0.150734,0.018175,637.612734,15.398707,15.372907,15.440681,15.533687,15.420481,14.823488,14.536436,13.870023,13.585445,13.329316,12.999569,12.863674,0.025,0.031,0.02,0.026,0.047,0.05,0.042,0.017,0.037,0.013,0.053,0.035
154.177515,-46.323317,1.0,8.51263,0.023142,-1.915749,0.022949,15.415506,15.951869,14.710922,0.161419,0.025079,646.463426,15.952707,15.956907,16.055681,16.167687,16.121481,15.547488,15.257436,14.636023,14.361445,14.095316,13.811569,13.671674,0.024,0.029,0.019,0.031,0.036,0.048,0.038,0.017,0.032,0.013,0.067,0.041
154.173241,-46.320313,0.0,8.442714,0.040892,-2.090566,0.04015,16.613293,17.114492,15.935694,0.263168,0.043903,661.076545,16.952707,17.051907,17.022681,17.213687,17.144481,16.712488,16.380436,15.805023,15.563445,15.357316,15.010569,14.888674,0.025,0.031,0.032,0.053,0.051,0.058,0.046,0.018,0.043,0.019,0.056,0.038
154.192676,-46.291883,1.0,8.535128,0.049398,-1.908385,0.04772,16.866503,17.348696,16.21392,0.190659,0.052065,680.19653,17.108707,17.109907,17.229681,17.439687,17.439481,16.884488,16.618436,16.071023,15.827445,15.578316,15.318569,15.185674,0.039,0.043,0.043,0.051,0.052,0.057,0.035,0.022,0.046,0.016,0.065,0.035
154.169197,-46.29834,1.0,8.584373,0.030035,-2.095309,0.029952,15.88826,16.40392,15.200529,0.172044,0.032294,712.384477,16.311707,16.339907,16.434681,16.565687,16.528481,15.984488,15.676436,15.084023,14.828445,14.534316,14.279569,14.170674,0.024,0.03,0.024,0.036,0.05,0.045,0.035,0.02,0.038,0.014,0.061,0.033
154.311492,-46.362558,1.0,8.252116,0.044961,-1.832297,0.047949,16.68823,17.16008,15.916051,0.162094,0.047274,290.506364,16.750767,16.8097,17.017985,17.088031,16.960895,16.550757,16.277636,15.6859,15.400297,15.114461,14.870845,14.76598,0.034,0.035,0.061,0.067,0.045,0.055,0.036,0.02,0.034,0.02,0.058,0.037
154.300455,-46.360672,1.0,8.244287,0.045505,-1.919372,0.048752,16.679092,17.209137,15.989766,0.222948,0.047784,316.46056,16.841767,16.8427,16.988985,17.093031,17.008895,16.566757,16.275636,15.7439,15.413297,15.214461,14.969845,14.86898,0.039,0.032,0.039,0.046,0.049,0.044,0.045,0.043,0.032,0.015,0.058,0.037
154.320049,-46.359469,1.0,8.53854,0.022482,-1.857167,0.023815,15.257093,15.865356,14.497366,0.15107,0.023233,281.546858,15.513857,15.534125,15.668184,15.728423,15.696688,15.122492,14.809639,14.186478,13.926812,13.621879,13.38967,13.285561,0.029,0.029,0.022,0.041,0.047,0.049,0.037,0.019,0.033,0.018,0.055,0.029
154.294495,-46.358299,1.0,8.245172,0.04571,-2.24574,0.04983,16.507147,17.014263,15.81186,0.19768,0.049692,333.462052,16.618767,16.6387,16.746985,16.959031,16.874895,16.368757,16.103636,15.5039,15.285297,15.033461,14.753845,14.66498,0.024,0.037,0.043,0.04,0.049,0.047,0.045,0.019,0.043,0.019,0.054,0.04
154.288701,-46.349151,1.0,8.422098,0.046677,-1.827821,0.049262,16.729818,17.216917,16.072779,0.269845,0.048833,364.871207,17.092092,17.07192,17.181697,17.339646,17.250911,16.821957,16.475808,15.931754,15.694009,15.435219,15.165767,15.057997,0.033,0.026,0.036,0.051,0.048,0.049,0.04,0.019,0.037,0.021,0.06,0.041
154.326792,-46.348531,1.0,8.218953,0.046129,-2.245221,0.04794,15.56535,16.117945,14.805297,0.187143,0.047292,298.663662,15.904851,15.858936,15.989782,16.065486,16.032747,15.46682,15.179987,14.56253,14.299756,14.02566,13.749287,13.651362,0.025,0.023,0.023,0.029,0.041,0.04,0.035,0.017,0.027,0.016,0.068,0.03
154.33034,-46.33212,0.0,8.620393,0.041815,-2.10979,0.04458,16.60416,17.157534,15.894172,0.250044,0.044065,341.502519,16.798851,16.811936,16.874782,17.045486,16.913747,16.46182,16.188987,15.63253,15.378756,15.14366,14.842287,14.748362,0.032,0.026,0.037,0.069,0.052,0.042,0.043,0.018,0.035,0.019,0.057,0.034
154.253532,-46.320468,1.0,8.467552,0.039391,-1.832967,0.044231,16.459553,16.946518,15.803622,0.201756,0.042945,498.33394,16.872334,16.853918,17.099066,17.115286,17.10005,16.573618,16.276038,15.724392,15.465738,15.238961,14.950083,14.804246,0.032,0.03,0.038,0.048,0.052,0.047,0.047,0.021,0.04,0.022,0.054,0.035
154.271735,-46.319035,0.0,8.105574,0.023376,-1.899023,0.025424,15.278274,15.809192,14.577035,0.201702,0.024453,469.208316,15.922334,15.932918,16.018066,16.116286,16.02105,15.479618,15.170038,14.534392,14.269738,13.971961,13.688083,13.582246,0.019,0.035,0.019,0.033,0.039,0.053,0.035,0.016,0.037,0.017,0.059,0.03
154.277978,-46.308814,1.0,8.478624,0.032985,-2.348244,0.035598,16.049746,16.545584,15.378735,0.193653,0.03432,486.184533,16.512334,16.553918,16.643066,16.777286,16.68405,16.179618,15.861038,15.277392,15.023738,14.834961,14.466083,14.359246,0.033,0.028,0.042,0.048,0.04,0.047,0.047,0.016,0.037,0.016,0.051,0.034
154.324759,-46.304625,0.0,8.282041,0.133643,-2.842125,0.141836,16.83007,17.12857,16.011547,0.783721,0.145625,434.658364,16.720691,16.914644,16.92414,17.115038,17.024012,16.603847,16.28653,15.757809,15.55542,15.2803,15.036952,14.945184,0.047,0.029,0.048,0.052,0.051,0.04,0.035,0.022,0.036,0.021,0.048,0.03
154.347491,-46.286185,1.0,8.39598,0.03928,-1.944762,0.043461,16.428757,16.921877,15.768267,0.198431,0.04136,475.399322,16.878414,16.880113,17.022347,17.117656,17.08655,16.539455,16.257053,15.673801,15.424246,15.17578,14.910131,14.760454,0.034,0.027,0.031,0.052,0.041,0.043,0.031,0.019,0.035,0.016,0.059,0.03
154.338533,-46.272804,1.0,8.575734,0.053003,-2.255927,0.053959,16.856617,17.344616,16.20676,0.206489,0.053762,528.031467,17.214414,17.166113,17.461347,17.455656,17.41555,16.971455,16.653053,16.094801,15.847246,15.59578,15.343131,15.215454,0.043,0.033,0.045,0.068,0.035,0.046,0.039,0.019,0.039,0.017,0.051,0.031
154.23604,-46.297577,1.0,8.312954,0.04618,-2.101867,0.047243,16.741781,17.224129,16.099339,0.258556,0.048584,586.547355,17.085878,17.082476,17.151085,17.369857,17.324864,16.828244,16.490742,15.979907,15.707965,15.464559,15.211651,15.088566,0.035,0.028,0.039,0.046,0.047,0.055,0.046,0.017,0.037,0.02,0.056,0.035
154.203611,-46.291901,1.0,8.584873,0.040713,-2.199361,0.039223,16.494724,16.996017,15.829211,0.206845,0.042467,659.467217,16.844878,16.901476,17.011085,17.161857,17.057864,16.607244,16.269742,15.703907,15.456965,15.178559,14.905651,14.822566,0.043,0.036,0.033,0.044,0.061,0.047,0.04,0.018,0.035,0.017,0.061,0.04
154.189731,-46.282599,0.0,8.317517,0.028695,-1.872452,0.026735,15.558919,16.072586,14.877124,0.196618,0.027853,707.510512,16.029707,16.063907,16.117681,16.272687,16.159481,15.663488,15.370436,14.768023,14.504445,14.253316,13.997569,13.824674,0.036,0.028,0.025,0.03,0.053,0.044,0.038,0.013,0.037,0.016,0.062,0.039
154.191724,-46.273832,1.0,8.20609,0.039083,-2.044352,0.038639,16.479671,16.927422,15.776934,0.249568,0.041412,725.181332,16.747119,16.794707,16.910309,17.066073,16.96507,16.485422,16.174905,15.598038,15.373088,15.078657,14.82973,14.730631,0.032,0.04,0.053,0.054,0.053,0.052,0.048,0.027,0.044,0.034,0.057,0.042
154.200461,-46.26148,1.0,8.536399,0.040594,-1.957025,0.04031,16.437405,16.93652,15.772973,0.160606,0.040925,741.574315,16.838119,16.833707,16.922309,17.104073,16.99207,16.537422,16.198905,15.659038,15.403088,15.195657,14.86973,14.759631,0.031,0.038,0.031,0.048,0.044,0.054,0.046,0.016,0.033,0.019,0.059,0.035
154.207723,-46.241877,1.0,8.24789,0.047472,-1.936477,0.047394,16.799902,17.288794,16.142578,0.177132,0.047623,783.47708,17.150119,17.155707,17.255309,17.429073,17.37807,16.882422,16.561905,16.036038,15.778088,15.518657,15.27173,15.135631,0.029,0.029,0.032,0.048,0.042,0.058,0.039,0.016,0.033,0.016,0.064,0.034
154.295938,-46.228356,1.0,8.754105,0.073409,-1.826512,0.065683,16.27121,16.47524,15.315674,-0.033991,0.062558,714.657174,16.412729,16.410212,16.515739,16.607423,16.542304,16.040355,15.750679,15.147459,14.941421,14.614712,14.376579,14.250339,0.057,0.076,0.059,0.068,0.064,0.047,0.074,0.058,0.064,0.064,0.066,0.065
154.2162,-46.227332,1.0,8.397218,0.037435,-2.077924,0.038951,16.350159,16.87611,15.653801,0.224983,0.037877,812.952519,16.844119,16.913707,16.999309,17.042073,17.09207,16.509422,16.173905,15.570038,15.321088,15.039657,14.76873,14.639631,0.028,0.035,0.027,0.049,0.051,0.06,0.044,0.019,0.035,0.02,0.066,0.037
154.227461,-46.218277,1.0,8.295381,0.038445,-2.044715,0.039172,16.457472,16.987293,15.762979,0.149213,0.038926,824.717186,16.956119,16.928707,17.070309,17.179073,17.10507,16.613422,16.276905,15.667038,15.425088,15.193657,14.85073,14.717631,0.042,0.028,0.037,0.043,0.045,0.057,0.042,0.015,0.04,0.019,0.054,0.037
154.476037,-46.352862,1.0,8.171548,0.0189,-1.801447,0.019561,14.877109,15.460775,14.117488,0.188028,0.019824,280.316893,15.285083,15.28692,15.417862,15.461606,15.446479,14.842953,14.549216,13.892543,13.638709,13.384288,13.059458,12.932829,0.018,0.023,0.019,0.021,0.032,0.045,0.031,0.015,0.028,0.013,0.046,0.028
154.476223,-46.351668,1.0,8.285148,0.049131,-1.791206,0.05019,16.796864,17.320145,16.084322,0.232403,0.050645,283.914937,16.985083,16.89192,16.940862,17.252606,17.153479,16.638953,16.356216,15.752543,15.536709,15.215288,14.978458,14.841829,0.038,0.031,0.04,0.053,0.063,0.062,0.037,0.017,0.032,0.017,0.055,0.029
154.488082,-46.34541,0.0,8.416939,0.04377,-2.137021,0.045483,16.56451,17.120596,15.839901,0.188596,0.046305,320.158162,16.839083,16.80992,16.849862,17.029606,16.908479,16.477953,16.198216,15.580543,15.335709,15.097288,14.816458,14.669829,0.038,0.029,0.037,0.064,0.046,0.046,0.046,0.015,0.03,0.016,0.06,0.032
154.493006,-46.336611,1.0,8.237017,0.031351,-2.121023,0.031902,15.95737,16.529175,15.212072,0.208539,0.031792,352.277935,16.324083,16.31092,16.483862,16.493606,16.447479,15.903953,15.593216,14.979543,14.722709,14.400288,14.167458,14.047829,0.027,0.024,0.029,0.034,0.038,0.05,0.033,0.018,0.032,0.014,0.05,0.03
154.450521,-46.324102,1.0,8.253572,0.048171,-1.8607,0.051797,16.810905,17.300415,16.097878,0.26859,0.048802,338.968831,17.066315,17.098285,17.156068,17.330208,17.260088,16.815087,16.488268,15.887222,15.683999,15.344257,15.109971,15.00286,0.032,0.037,0.049,0.044,0.036,0.042,0.032,0.025,0.035,0.02,0.058,0.033
