# ra,dec,X,Y,Vx,e_Vx,Vy,e_Vy,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_pmra_corr,ra_pmdec_corr,dec_pmra_corr,dec_pmdec_corr,pmra_pmdec_corr,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_expected_sig_to_noise,rv_chisq_pvalue,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,pop,Z,err_Z,R,err_R,F378,err_F378,F395,err_F395,F410,err_F410,F430,err_F430,F515,err_F515,F660,err_F660,F861,err_F861,G,err_G,I,err_I,U,err_U,RVcormerg,e_RVcormerg,s_RVcormerg,N,flagXM,flagRV,flagBinary,Gmag,Survey
6.992709,-72.090056,-1072.80039,-40.234214,5.545359,0.023391,-2.370384,0.027989,4689630436390624512,0.2018186475311512,0.022104276,5.582863329633029,0.02339015,-2.2808374908899536,0.027990349,-0.053938933,-0.124961704,0.015070349,0.031771373,-0.04600901,-0.08576527,0.96442723,15.205046,15.665516,14.580185,,,,,,,,,,,NOT_AVAILABLE,false,false,false,true,5787.868,2.9938,-0.0688,8427.296,0.5841,0.4773,0.2544,0.0,14.129,0.024,14.927,0.013,16.496,0.028,16.413999999999998,0.123,16.415,0.02,16.268,0.052,15.489,0.008,14.675,0.015,14.267,0.032,15.806999999999999,0.009,14.448,0.023,16.261,0.019,,,,,,,,,
7.087921,-72.050068,-1180.735096,101.919476,5.537332,0.038095,-2.572424,0.042966,4689630642548797824,0.1698150028387717,0.032951992,5.582014271268229,0.03809426,-2.4741576524287923,0.0429676,0.008321344,-0.17919968,-0.031004157,-0.013467968,-0.09279066,-0.038578276,1.0653287,15.848343,16.301592,15.236974,,,,,,,,,,,NOT_AVAILABLE,false,false,true,true,5099.646,3.5252,-0.2636,3544.1484,0.1619,0.1305,0.0697,0.0,14.801,0.022,15.565000000000001,0.016,17.151,0.054,17.008,0.157,17.009,0.033,16.792,0.074,16.126,0.011,15.306999999999999,0.015,14.919,0.032,16.429,0.012,15.099,0.022,16.89,0.033,,,,,,,,,
7.109824,-72.019374,-1207.024213,211.966583,5.456456,0.030624,-2.722061,0.038064,4689630917426673280,0.1828085470642627,0.027525358,5.504743626211072,0.030621545,-2.6231999210741646,0.038066693,-0.14005737,-0.130844,-0.080120176,-0.07555224,0.026922869,-0.21390067,1.0107687,15.565657,16.022696,14.9459,,,,,,,,,,,NOT_AVAILABLE,false,false,true,true,5365.8096,3.2922,-0.1297,5677.1904,0.3785,0.3072,0.1641,0.0,14.495,0.025,15.271999999999998,0.015,16.865,0.041,16.721999999999998,0.133,16.723,0.024,16.551000000000002,0.066,15.843,0.011,15.033000000000001,0.016,14.640999999999998,0.032,16.152,0.014,14.803,0.027,16.572,0.025,,,,,,,,,
6.992251,-72.061385,-1073.954333,62.976078,5.156987,0.030488,-2.39333,0.036003,4689630711268301312,0.12757632059711493,0.027458033,5.194882554440698,0.030486388,-2.310069641373853,0.036004446,-0.06036599,-0.2067917,-0.025386347,-0.021082133,-0.017433438,-0.10095922,0.9483842,15.695288,16.136995,15.079426,,,,,,,,,,,NOT_AVAILABLE,false,false,false,true,5586.091,3.7338,-0.2891,3009.0015,0.448,0.3657,0.1958,0.0,14.633000000000001,0.022,15.388000000000002,0.013,16.834,0.031,16.811999999999998,0.143,16.768,0.022,16.651,0.068,15.931999999999999,0.013,15.134,0.015,14.754000000000001,0.03,16.229,0.016,14.924,0.025,16.581,0.023,,,,,,,,,
7.177078,-72.041852,-1280.200551,129.672902,5.089421,0.016126,-2.289575,0.018205,4689631020505901440,0.2037923528657193,0.014225868,5.132430818299437,0.016125914,-2.191671957735551,0.018205652,-0.14538066,-0.039859887,-0.054013208,-0.015292102,-0.052707184,-0.3089349,1.005315,13.885891,14.409881,13.208062,-16.63663,3.3910432,2,21,3,10.07132,,5250.0,0.0,-0.5,NOT_AVAILABLE,false,false,false,true,,,,,,,,1.0,12.726,0.018,13.597000000000001,0.013,15.451999999999998,0.012,15.491,0.078,15.308000000000002,0.008,15.114,0.035,14.261,0.007,13.335999999999999,0.013,12.895,0.03,14.596999999999998,0.01,13.067,0.02,15.303,0.011,,,,,,,,,
7.131117,-72.020832,-1230.586509,206.28915,5.108659,0.030279,-2.59653,0.033597,4689631295374481024,0.18154558636228,0.026989903,5.155622272121908,0.030278437,-2.5021388592321414,0.033597752,-0.097619124,-0.18620874,-0.013867555,-0.009571619,-0.12445962,-0.11799954,0.9726487,15.6406355,16.090229,14.992786,,,,,,,,,,,NOT_AVAILABLE,false,false,true,true,5348.4106,3.4601,-0.2499,4273.3413,0.3852,0.313,0.1679,1.0,14.502,0.028,15.344999999999999,0.013,16.641,0.032,16.832,0.146,16.715000000000003,0.023,16.61,0.062,15.889,0.012,15.085,0.014,14.637999999999998,0.027,16.208,0.012,14.828,0.023,16.573,0.024,,,,,,,,,
6.904847,-72.061879,-977.027566,62.687717,4.98172,0.011275,-2.524409,0.012924,4689631497239536896,0.21562873734240665,0.010175407,5.018180088114833,0.011275089,-2.451237272611061,0.012924297,-0.12517504,-0.26759768,0.011801984,0.017160775,0.025275916,-0.107730865,0.90077066,13.044502,13.636762,12.312637,-22.336306,0.89490217,2,24,4,21.80493,,4500.0,1.5,-0.75,NOT_AVAILABLE,false,false,true,true,4820.283,2.5205,-0.163,3228.7942,0.4742,0.3689,0.1946,0.0,11.786999999999999,0.017,12.768,0.011,15.166,0.011,15.073999999999998,0.059,14.838,0.008,14.495000000000001,0.023,13.515999999999998,0.006,12.481000000000002,0.01,11.983,0.031,13.858999999999998,0.01,12.177,0.019,15.021,0.008,-22.837,2.711,0.0,1,,1.5,,13.056,Gaia
6.901263,-72.051279,-973.610718,100.901368,5.361782,0.017142,-2.234096,0.019867,4689631570261760384,0.18016923967925566,0.015106122,5.393827268024106,0.017141616,-2.1557151537281425,0.019868016,-0.1014782,-0.21045202,0.03483726,0.037190724,-0.013041131,-0.07771631,1.026976,14.317503,14.829662,13.648974,-23.793566,4.8146267,2,19,6,6.4706497,,5250.0,0.0,-0.5,NOT_AVAILABLE,false,false,false,true,5660.171,2.6605,-0.0403,8278.921,0.7256,0.5851,0.3114,1.0,13.174000000000001,0.021,14.04,0.014,15.747999999999998,0.016,15.858999999999998,0.089,15.683000000000002,0.01,15.508,0.041,14.68,0.008,13.774000000000001,0.014,13.335999999999999,0.031,15.003999999999998,0.01,13.515,0.021,15.631,0.011,,,,,,,,,
7.029483,-72.034345,-1116.855893,159.629487,5.043776,0.016756,-2.123343,0.020025,4689631638981200768,0.19016999956187722,0.0150943585,5.078603756893321,0.016755726,-2.0387996330627924,0.020025484,-0.10640099,-0.20319682,-0.0067218663,-0.0019079598,-0.04960181,-0.1164902,0.9973906,14.281042,14.796203,13.607629,-14.361789,3.6180987,2,23,4,7.160427,,5250.0,0.5,-0.75,NOT_AVAILABLE,false,false,false,true,,,,,,,,1.0,13.132,0.022,14.006,0.014,15.715,0.014,15.805999999999997,0.085,15.654000000000002,0.011,15.483,0.035,14.654,0.008,13.742999999999999,0.012,13.291,0.032,14.974999999999998,0.011,13.475000000000001,0.023,15.620000000000001,0.011,,,,,,,,,
7.189111,-71.964294,-1298.954921,408.568705,5.249647,0.04512,-2.357267,0.04997,4689632360535654528,0.09769410001548226,0.039603285,5.294360446451979,0.0451194,-2.2552290648030073,0.049971394,-0.08410945,-0.19588771,-0.04212819,-0.027745994,-0.17213698,-0.053787824,1.0015093,16.366312,16.783997,15.769966,,,,,,,,,,,NOT_AVAILABLE,false,false,true,true,5285.689,4.1687,-0.8569,2372.9663,0.1879,0.1532,0.0826,0.0,15.309,0.025,16.06,0.015,17.423,0.057,17.399,0.2,17.362000000000002,0.041,17.289,0.093,16.578,0.014,15.818000000000001,0.014,15.424,0.037,16.887999999999998,0.011,15.600000000000001,0.025,17.155,0.045,,,,,,,,,
7.185562,-71.956877,-1295.514437,435.342189,5.159629,0.033248,-2.224397,0.035417,4689632429255128320,0.15739825865969628,0.027795237,5.201659910228482,0.033248138,-2.1244328894371205,0.035418287,-0.13664344,-0.24014512,0.025875965,0.031433076,-0.16074602,-0.12162791,1.0439503,15.712261,16.168495,15.0905075,,,,,,,,,,,NOT_AVAILABLE,false,false,true,true,5322.471,3.8496,-0.2026,2254.8887,0.368,0.2984,0.1597,0.0,14.647,0.027,15.408000000000001,0.013,16.842,0.039,16.871,0.144,16.802,0.027,16.705000000000002,0.071,16.004,0.013,15.164000000000001,0.013,14.759999999999998,0.035,16.297,0.01,14.940000000000001,0.022,16.711000000000002,0.032,,,,,,,,,
7.311794,-71.938932,-1437.616584,497.066285,5.366981,0.017483,-2.687927,0.018913,4689632497974597248,0.20852011277746638,0.015110267,5.423334541941872,0.017482946,-2.572515197052632,0.018914185,-0.14320968,-0.17749514,0.004281336,0.007447926,-0.09069651,-0.108257435,0.94963443,14.301728,14.807709,13.638092,-21.710382,4.3637967,2,18,3,5.531665,,5250.0,0.5,-0.5,NOT_AVAILABLE,false,false,true,true,5351.0186,3.3649,-0.0702,2620.7542,0.5865,0.4719,0.2521,1.0,13.159999999999998,0.021,14.009,0.012,15.631,0.015,15.791999999999998,0.088,15.596000000000002,0.011,15.462,0.036,14.637999999999998,0.008,13.753,0.013,13.315000000000001,0.033,14.974,0.011,13.494,0.019,15.528000000000002,0.011,,,,,,,,,
6.477819,-72.102261,-502.491383,-77.43411,5.340489,0.044998,-1.893329,0.049612,4689632601054073472,0.27492627172320105,0.039801702,5.354635369964745,0.044998165,-1.8529943804338251,0.049612306,-0.010286468,-0.15559582,-0.04427878,-0.01670638,0.1359091,0.036512397,1.0597807,16.40202,16.817598,15.784795,,,,,,,,,,,NOT_AVAILABLE,false,false,true,true,4966.1753,4.2629,-1.3546,1659.9506,0.0199,0.0161,0.0087,0.0,15.336,0.024,16.102,0.015,17.549,0.06,17.406,0.196,17.386000000000003,0.039,17.375,0.087,16.674,0.016,15.841000000000001,0.017,15.460999999999999,0.037,16.938,0.01,15.616,0.024,17.214000000000002,0.049,,,,,,,,,
6.547241,-72.086521,-579.786842,-21.395833,4.785895,0.024588,-2.427923,0.026312,4689632635413781504,0.22120978308150868,0.02217928,4.806845065570236,0.024588179,-2.3862159247936425,0.026312403,-0.034530647,-0.17932056,-0.059002195,0.007645587,0.05006847,0.095696874,0.9835308,15.231699,15.659215,14.583838,,,,,,,,,,,NOT_AVAILABLE,false,false,true,true,5461.6846,3.5446,-0.0676,3198.406,0.4827,0.3929,0.2103,1.0,14.113999999999999,0.022,14.905999999999999,0.015,16.24,0.021,16.401,0.119,16.247,0.019,16.232,0.047,15.48,0.011,14.655000000000001,0.015,14.25,0.03,15.768,0.014,14.424,0.022,16.045,0.023,,,,,,,,,
6.551235,-72.090406,-584.0867,-35.418837,5.174082,0.014708,-2.641503,0.015874,4689632635413787136,0.19859089239084174,0.013598145,5.197049434361948,0.014708018,-2.596067675400461,0.015874157,-0.086401194,-0.2818645,-0.03240419,0.011419648,0.034941692,-0.007157078,1.0336835,14.005696,14.518025,13.336427,-21.798426,3.3320556,2,20,8,7.8393655,,4750.0,1.5,-1.0,NOT_AVAILABLE,false,false,true,true,4917.3647,2.8715,-0.3346,2881.5503,0.2418,0.1914,0.1017,0.0,12.865,0.023,13.729,0.013,15.674,0.012,15.590999999999998,0.079,15.482999999999999,0.009,15.222000000000001,0.034,14.373000000000001,0.007,13.465,0.013,13.030999999999999,0.033,14.693999999999999,0.01,13.211000000000002,0.022,15.488,0.01,,,,,,,,,
6.507132,-72.078365,-535.612254,8.334902,4.832242,0.014235,-2.604473,0.015662,4689632669773515392,0.1922999645779949,0.013380606,4.853014442460622,0.01423533,-2.5655887801011725,0.015662566,-0.09406212,-0.24579069,-0.08711256,-0.017772472,0.043055683,0.03502535,1.042759,13.838347,14.368055,13.157391,-14.959994,2.9370892,2,15,7,8.895494,,4750.0,1.5,-1.0,NOT_AVAILABLE,false,false,true,true,4752.9614,2.4955,-0.6008,3549.2517,0.1593,0.1251,0.0664,0.0,12.688,0.021,13.568999999999999,0.012,15.652999999999999,0.016,15.526999999999997,0.069,15.363000000000001,0.009,15.114,0.031,14.235,0.006,13.295000000000002,0.012,12.837,0.033,14.559999999999999,0.01,13.024999999999999,0.021,15.503,0.019,-16.663,0.181,0.0,1,,0.0,,13.8513,APOGEE
6.491475,-72.087099,-518.023527,-22.968203,5.03516,0.013869,-2.348917,0.014883,4689632669773531520,0.21678410274881837,0.012787864,5.053274600024892,0.013868666,-2.309725601135352,0.014883043,-0.11203516,-0.2490434,-0.026433157,0.019648843,0.06664987,-0.017467292,0.9656512,13.88795,14.4131,13.210473,-18.0811,2.5950112,2,23,8,9.751318,,4750.0,2.5,-0.75,NOT_AVAILABLE,false,false,false,true,,,,,,,,0.0,12.740999999999998,0.019,13.613,0.011,15.622,0.012,15.529,0.074,15.386999999999999,0.009,15.119,0.031,14.274000000000001,0.007,13.341999999999999,0.014,12.892,0.033,14.600999999999999,0.01,13.086000000000002,0.022,15.424,0.011,-21.476,0.078,0.014,2,,0.0,,13.9006,APOGEE;GES
6.548875,-72.067447,-582.194461,47.250266,4.954239,0.02697,-2.384002,0.032007,4689632704133227520,0.16100911552807487,0.026065065,4.974863050172241,0.026969228,-2.3406972448307948,0.032007426,-0.11307451,-0.19889311,-0.059627246,-0.0078000342,-0.038029827,0.03324979,1.0127625,15.508264,15.954551,14.892818,,,,,,,,,,,NOT_AVAILABLE,false,false,true,true,5455.88,3.5913,-0.1982,3423.1335,0.4355,0.3553,0.1906,0.0,14.453000000000001,0.026,15.238,0.017,16.641,0.03,16.738,0.124,16.658,0.022,16.507,0.063,15.791999999999998,0.011,14.995999999999999,0.015,14.594000000000001,0.036,16.093999999999998,0.012,14.749000000000002,0.024,16.456,0.019,,,,,,,,,
6.519373,-72.074889,-549.274174,20.73725,4.883909,0.06406,-3.046949,0.074783,4689632704133246208,0.5174212541284275,0.059948653,4.9088441229882305,0.06405918,-3.006638596843058,0.07478393,-0.04940067,-0.1936218,-0.037488855,0.017035425,0.11715176,0.04330812,2.4006689,16.001398,16.359287,15.312593,,,,,,,,,,,NOT_AVAILABLE,false,false,true,true,5709.5176,4.5025,-0.5587,1116.8494,0.5969,0.4917,0.2667,1.0,14.868,0.025,15.626999999999999,0.012,16.923,0.035,17.151999999999997,0.175,16.997,0.029,16.947,0.078,16.192999999999998,0.014,15.385000000000002,0.014,15.003,0.031,16.49,0.011,15.16,0.021,16.798000000000002,0.023,,,,,,,,,
6.53673,-72.07802,-568.409373,9.305733,6.136804,0.032443,-2.736613,0.03727,4689632704133248000,0.20610483405064223,0.03053823,6.159922949476584,0.03244284,-2.6842229366398076,0.03727039,-0.06965017,-0.17823814,-0.03022395,0.015173046,0.07846529,0.03431292,0.97556597,15.957812,16.374748,15.36959,,,,,,,,,,,NOT_AVAILABLE,false,false,true,true,5551.4595,3.8144,-0.4202,2921.2793,0.3251,0.2667,0.1431,0.0,14.934,0.026,15.663,0.013,16.945999999999998,0.034,16.98,0.154,16.901000000000003,0.024,16.849,0.071,16.203,0.016,15.443000000000001,0.014,15.041,0.035,16.474999999999998,0.014,15.23,0.027,16.738,0.026,,,,,,,,,
6.538788,-72.079869,-570.632011,2.629965,4.725907,0.018622,-2.25819,0.020774,4689632704133250304,0.19044931980431534,0.017406495,4.745071024005717,0.018621603,-2.2176771170964895,0.020773785,-0.09392378,-0.19113073,-0.03597542,0.012084718,0.05482686,0.015185989,0.96878976,14.712298,15.198009,14.060444,-25.503544,7.354145,2,15,6,4.9481688,,5250.0,0.5,-0.5,NOT_AVAILABLE,false,false,true,true,5106.3247,3.3913,-0.1878,2648.412,0.3254,0.2606,0.1389,0.0,13.598,0.024,14.431999999999999,0.013,16.099999999999998,0.018,16.143,0.103,15.993,0.012,15.873000000000001,0.045,15.041999999999998,0.01,14.175999999999998,0.014,13.742999999999999,0.035,15.355,0.01,13.929000000000002,0.022,15.943999999999999,0.019,,,,,,,,,
