RA,Dec,pop,Z,err_Z,R,err_R,F378,err_F378,F395,err_F395,F410,err_F410,F430,err_F430,F515,err_F515,F660,err_F660,F861,err_F861,G,err_G,I,err_I,U,err_U,pmra,e_pmra,pmdec,e_pmdec,g,bp,rp,par,e_par,r
6.285557,-72.15324,0.0,14.932,0.027,15.690000000000001,0.016,17.166999999999998,0.046,17.275,0.195,17.122999999999998,0.031,17.057000000000002,0.092,16.284,0.016,15.462,0.019,15.061,0.03,16.564,0.016,15.227,0.029,16.94,0.033,6.123865,0.110883,-3.137019,0.116848,16.12692,16.45613,15.390748,0.332241,0.105348,388.496094
6.09714,-72.15136,0.0,12.652,0.022,13.523,0.014,15.567999999999998,0.014,15.46,0.072,15.314000000000002,0.011,15.051000000000002,0.03,14.195,0.01,13.25,0.014,12.809000000000001,0.029,14.503999999999998,0.011,12.986999999999998,0.025,15.359000000000002,0.014,5.918254,0.017787,-2.752244,0.01624,13.847283,14.345899,13.144569,0.254863,0.016081,265.0607
5.909591,-72.15109,0.0,14.434,0.027,15.193000000000001,0.015,16.897,0.037,16.875999999999998,0.172,16.816000000000003,0.025,16.643,0.076,15.77,0.01,14.966000000000001,0.016,14.544,0.034,16.069,0.012,14.736,0.025,16.642,0.025,5.814724,0.026966,-2.489459,0.030861,15.483689,15.921299,14.868687,0.192567,0.026927,281.186953
5.923205,-72.15031,0.0,14.755,0.027,15.516000000000002,0.017,17.249,0.048,17.266,0.226,17.049999999999997,0.029,16.902,0.083,16.067999999999998,0.014,15.267,0.016,14.863,0.033,16.361,0.015,15.032,0.026,17.055,0.044,5.545167,0.038157,-2.538752,0.036664,15.825638,16.214306,15.185072,0.207969,0.033608,272.178316
6.157621,-72.14924,0.0,15.429,0.029,16.171,0.017,17.936,0.077,17.823999999999998,0.319,17.774,0.059,17.563000000000002,0.126,16.743,0.02,15.931999999999999,0.019,15.552,0.035,17.023,0.016,15.718,0.026,17.569,0.06,5.230153,0.064923,-2.538179,0.066778,16.502134,16.856697,15.858203,0.270833,0.059683,285.998057
6.038338,-72.14621,0.0,13.772,0.028,14.561,0.023,16.154,0.027,16.21,0.12,16.112000000000002,0.023,15.918,0.049,15.126000000000001,0.023,14.314,0.025,13.899000000000001,0.03,15.451,0.024,14.085,0.029,15.943999999999999,0.023,5.292332,0.022658,-3.399288,0.022954,14.99213,15.346475,14.268803,0.196934,0.021439,234.352353
6.269367,-72.14567,0.0,15.336,0.021,16.093,0.012,17.764,0.073,17.616,0.237,17.607,0.04,17.316,0.098,16.689,0.016,15.838000000000001,0.015,15.459,0.023,16.93,0.012,15.621000000000002,0.019,17.619,0.055,6.133544,0.08646,-1.714129,0.091218,16.535944,16.820854,15.806067,0.109411,0.079358,357.095234
5.687565,-72.1453,1.0,14.217,0.024,15.007000000000001,0.012,16.502,0.031,16.586,0.131,16.435000000000002,0.018,16.388,0.06,15.613,0.011,14.77,0.016,14.355999999999998,0.031,15.904,0.012,14.524000000000001,0.024,16.34,0.018,5.516946,0.029438,-2.164444,0.027937,15.339214,15.773974,14.689822,0.158957,0.026328,437.188893
5.594815,-72.14465,1.0,15.405,0.028,16.138,0.014,17.314,0.062,17.598,0.243,17.436,0.041,17.414,0.088,16.682,0.017,15.905999999999999,0.016,15.514,0.028,16.971999999999998,0.013,15.685000000000002,0.026,17.076,0.046,6.022316,0.045156,-2.932463,0.045288,16.490341,16.89476,15.872334,0.177838,0.040557,526.07673
6.145499,-72.14393,1.0,13.976,0.02,14.769000000000002,0.013,16.404,0.023,16.555,0.141,16.305999999999997,0.017,16.222,0.056,15.402999999999999,0.011,14.518,0.013,14.126000000000001,0.025,15.674,0.011,14.283000000000001,0.021,16.201,0.018,5.198367,0.036457,-2.112274,0.034101,15.173582,15.533005,14.446658,0.163537,0.031763,262.731456
5.835041,-72.14139,0.0,14.950000000000001,0.024,15.705000000000002,0.015,17.427,0.058,17.532999999999998,0.261,17.298000000000002,0.044,17.265,0.096,16.355999999999998,0.022,15.469000000000001,0.014,15.137,0.036,16.601,0.014,15.257000000000001,0.021,17.232,0.045,4.771807,0.036585,-2.764565,0.03757,16.041605,16.432888,15.385071,0.143357,0.033975,300.557175
5.9586,-72.13949,0.0,14.880999999999998,0.021,15.705000000000002,0.017,17.519,0.063,17.551,0.295,17.357,0.042,17.168,0.109,16.335,0.019,15.453,0.017,15.02,0.028,16.636,0.021,15.203,0.022,17.481,0.062,6.04116,0.088813,-3.0922,0.07189,16.10072,16.292562,15.28741,-0.01016,0.069055,221.599473
